# log10(y)    mass[MeV]    Nhits
-13.3  5  1.514579e-05
-13.7  5  1.911558e-04
-14  5  2.415013e-03
-14.3  5  2.127613e-02
-14.7  5  1.046591e-01
-15  5  3.957534e-01
-15.3  5  1.161955e+00
-15.7  5  2.009260e+00
-16  5  2.686989e+00
-16.3  5  4.315695e+00
-16.7  5  3.280599e+00
-17  5  4.019884e+00
-17.3  5  3.644852e+00
-17.7  5  3.880099e+00
-18  5  3.436334e+00
-18.3  5  2.667994e+00
-18.7  5  1.670578e+00
-19  5  1.162886e+00
-19.3  5  7.740665e-01
-19.7  5  3.754784e-01
-20  5  2.459096e-01
-20.3  5  1.646677e-01
-20.7  5  8.955105e-02
-21  5  5.339912e-02
-21.3  5  2.033234e-02
-21.7  5  3.721928e-03
-2.200000e+01  5.000000e+00  0.0
-13.3  6  2.026301e-04
-13.7  6  1.646717e-03
-14  6  7.058195e-03
-14.3  6  5.537513e-02
-14.7  6  2.396893e-01
-15  6  6.581898e-01
-15.3  6  1.810417e+00
-15.7  6  2.170218e+00
-16  6  2.972714e+00
-16.3  6  3.089003e+00
-16.7  6  2.743937e+00
-17  6  2.650593e+00
-17.3  6  3.897166e+00
-17.7  6  3.222205e+00
-18  6  2.758998e+00
-18.3  6  1.879023e+00
-18.7  6  1.101092e+00
-19  6  7.390895e-01
-19.3  6  4.549279e-01
-19.7  6  2.038231e-01
-20  6  1.361287e-01
-20.3  6  1.003144e-01
-20.7  6  4.682144e-02
-21  6  1.619000e-02
-21.3  6  3.732254e-03
-2.170000e+01  6.000000e+00  0.0
-2.200000e+01  6.000000e+00  0.0
-13.3  8  5.239927e-03
-13.7  8  1.585631e-02
-14  8  4.398112e-02
-14.3  8  1.601352e-01
-14.7  8  3.454557e-01
-15  8  1.014241e+00
-15.3  8  1.663828e+00
-15.7  8  1.920557e+00
-16  8  2.046859e+00
-16.3  8  1.971130e+00
-16.7  8  1.449103e+00
-17  8  1.709473e+00
-17.3  8  1.773247e+00
-17.7  8  1.529967e+00
-18  8  1.139869e+00
-18.3  8  8.640680e-01
-18.7  8  4.555261e-01
-19  8  2.873577e-01
-19.3  8  1.701397e-01
-19.7  8  8.045534e-02
-20  8  6.179308e-02
-20.3  8  3.568574e-02
-20.7  8  9.385590e-03
-21  8  1.923090e-03
-2.130000e+01  8.000000e+00  0.0
-2.170000e+01  8.000000e+00  0.0
-2.200000e+01  8.000000e+00  0.0
-13.3  9  4.714120e-03
-13.7  9  2.134688e-02
-14  9  7.987759e-02
-14.3  9  2.944205e-01
-14.7  9  5.417429e-01
-15  9  1.269908e+00
-15.3  9  2.360962e+00
-15.7  9  2.143126e+00
-16  9  1.910995e+00
-16.3  9  1.711594e+00
-16.7  9  1.515446e+00
-17  9  1.881953e+00
-17.3  9  1.706323e+00
-17.7  9  1.232334e+00
-18  9  9.859072e-01
-18.3  9  6.956008e-01
-18.7  9  3.563426e-01
-19  9  2.206405e-01
-19.3  9  1.419721e-01
-19.7  9  8.286455e-02
-20  9  4.573685e-02
-20.3  9  1.520197e-02
-20.7  9  2.608618e-03
-2.100000e+01  9.000000e+00  0.0
-2.130000e+01  9.000000e+00  0.0
-2.170000e+01  9.000000e+00  0.0
-2.200000e+01  9.000000e+00  0.0
-13.3  11  2.465492e-02
-13.7  11  7.905342e-02
-14  11  2.409530e-01
-14.3  11  4.868286e-01
-14.7  11  9.686125e-01
-15  11  2.139509e+00
-15.3  11  2.761640e+00
-15.7  11  1.847151e+00
-16  11  1.565245e+00
-16.3  11  1.653616e+00
-16.7  11  1.072844e+00
-17  11  1.245269e+00
-17.3  11  9.963900e-01
-17.7  11  7.009643e-01
-18  11  5.317400e-01
-18.3  11  3.657820e-01
-18.7  11  2.130309e-01
-19  11  1.440717e-01
-19.3  11  9.287938e-02
-19.7  11  4.454316e-02
-20  11  1.407128e-02
-20.3  11  3.315080e-03
-2.070000e+01  1.100000e+01  0.0
-2.100000e+01  1.100000e+01  0.0
-2.130000e+01  1.100000e+01  0.0
-2.170000e+01  1.100000e+01  0.0
-2.200000e+01  1.100000e+01  0.0
-13.3  14  4.996271e-02
-13.7  14  1.434061e-01
-14  14  2.841111e-01
-14.3  14  6.881755e-01
-14.7  14  1.852814e+00
-15  14  2.395982e+00
-15.3  14  2.837344e+00
-15.7  14  1.497935e+00
-16  14  1.812324e+00
-16.3  14  1.398358e+00
-16.7  14  1.128120e+00
-17  14  7.589510e-01
-17.3  14  6.591107e-01
-17.7  14  3.512971e-01
-18  14  2.323697e-01
-18.3  14  1.695885e-01
-18.7  14  8.817171e-02
-19  14  6.305130e-02
-19.3  14  3.589470e-02
-19.7  14  9.611200e-03
-20  14  2.224871e-03
-2.030000e+01  1.400000e+01  0.0
-2.070000e+01  1.400000e+01  0.0
-2.100000e+01  1.400000e+01  0.0
-2.130000e+01  1.400000e+01  0.0
-2.170000e+01  1.400000e+01  0.0
-2.200000e+01  1.400000e+01  0.0
-13.3  17  5.562210e-02
-13.7  17  1.648447e-01
-14  17  5.472324e-01
-14.3  17  1.025882e+00
-14.7  17  1.431028e+00
-15  17  2.483297e+00
-15.3  17  3.036078e+00
-15.7  17  1.861480e+00
-16  17  1.499252e+00
-16.3  17  1.536125e+00
-16.7  17  9.134264e-01
-17  17  6.383102e-01
-17.3  17  4.248671e-01
-17.7  17  2.142481e-01
-18  17  1.328314e-01
-18.3  17  8.517706e-02
-18.7  17  5.084981e-02
-19  17  3.078356e-02
-19.3  17  9.268296e-03
-19.7  17  1.745435e-03
-2.000000e+01  1.700000e+01  0.0
-2.030000e+01  1.700000e+01  0.0
-2.070000e+01  1.700000e+01  0.0
-2.100000e+01  1.700000e+01  0.0
-2.130000e+01  1.700000e+01  0.0
-2.170000e+01  1.700000e+01  0.0
-2.200000e+01  1.700000e+01  0.0
-13.3  21  6.831400e-02
-13.7  21  1.536723e-01
-14  21  3.731735e-01
-14.3  21  7.347042e-01
-14.7  21  7.062351e-01
-15  21  2.257360e+00
-15.3  21  2.608732e+00
-15.7  21  1.751767e+00
-16  21  1.616001e+00
-16.3  21  1.012673e+00
-16.7  21  6.586661e-01
-17  21  4.277736e-01
-17.3  21  2.449550e-01
-17.7  21  1.139722e-01
-18  21  7.014273e-02
-18.3  21  5.175511e-02
-18.7  21  2.437488e-02
-19  21  7.313854e-03
-19.3  21  1.490528e-03
-1.970000e+01  2.100000e+01  0.0
-2.000000e+01  2.100000e+01  0.0
-2.030000e+01  2.100000e+01  0.0
-2.070000e+01  2.100000e+01  0.0
-2.100000e+01  2.100000e+01  0.0
-2.130000e+01  2.100000e+01  0.0
-2.170000e+01  2.100000e+01  0.0
-2.200000e+01  2.100000e+01  0.0
-13.3  26  5.192835e-02
-13.7  26  9.753614e-02
-14  26  2.407337e-01
-14.3  26  9.641486e-01
-14.7  26  1.048864e+00
-15  26  1.262588e+00
-15.3  26  1.832448e+00
-15.7  26  1.261291e+00
-16  26  1.131755e+00
-16.3  26  7.714465e-01
-16.7  26  4.429979e-01
-17  26  2.770811e-01
-17.3  26  1.464664e-01
-17.7  26  7.081914e-02
-18  26  5.347280e-02
-18.3  26  2.969286e-02
-18.7  26  7.777221e-03
-19  26  1.558622e-03
-1.930000e+01  2.600000e+01  0.0
-1.970000e+01  2.600000e+01  0.0
-2.000000e+01  2.600000e+01  0.0
-2.030000e+01  2.600000e+01  0.0
-2.070000e+01  2.600000e+01  0.0
-2.100000e+01  2.600000e+01  0.0
-2.130000e+01  2.600000e+01  0.0
-2.170000e+01  2.600000e+01  0.0
-2.200000e+01  2.600000e+01  0.0
-13.3  32  3.655956e-02
-13.7  32  3.862238e-02
-14  32  3.000691e-01
-14.3  32  3.240415e-01
-14.7  32  7.755999e-01
-15  32  6.717885e-01
-15.3  32  1.227894e+00
-15.7  32  7.430487e-01
-16  32  7.048166e-01
-16.3  32  5.237205e-01
-16.7  32  2.575807e-01
-17  32  1.623240e-01
-17.3  32  1.048403e-01
-17.7  32  5.370650e-02
-18  32  3.134803e-02
-18.3  32  1.036650e-02
-18.7  32  1.670931e-03
-1.900000e+01  3.200000e+01  0.0
-1.930000e+01  3.200000e+01  0.0
-1.970000e+01  3.200000e+01  0.0
-2.000000e+01  3.200000e+01  0.0
-2.030000e+01  3.200000e+01  0.0
-2.070000e+01  3.200000e+01  0.0
-2.100000e+01  3.200000e+01  0.0
-2.130000e+01  3.200000e+01  0.0
-2.170000e+01  3.200000e+01  0.0
-2.200000e+01  3.200000e+01  0.0
-13.3  39  1.611223e-02
-13.7  39  9.220798e-02
-14  39  1.933522e-01
-14.3  39  2.724155e-01
-14.7  39  3.725686e-01
-15  39  4.352942e-01
-15.3  39  6.688437e-01
-15.7  39  4.467733e-01
-16  39  3.834420e-01
-16.3  39  2.537399e-01
-16.7  39  1.341349e-01
-17  39  8.579807e-02
-17.3  39  6.100270e-02
-17.7  39  2.985458e-02
-18  39  9.088315e-03
-1.830000e+01  3.900000e+01  0.0
-1.870000e+01  3.900000e+01  0.0
-1.900000e+01  3.900000e+01  0.0
-1.930000e+01  3.900000e+01  0.0
-1.970000e+01  3.900000e+01  0.0
-2.000000e+01  3.900000e+01  0.0
-2.030000e+01  3.900000e+01  0.0
-2.070000e+01  3.900000e+01  0.0
-2.100000e+01  3.900000e+01  0.0
-2.130000e+01  3.900000e+01  0.0
-2.170000e+01  3.900000e+01  0.0
-2.200000e+01  3.900000e+01  0.0
-13.3  48  1.583468e-02
-13.7  48  2.416262e-02
-14  48  5.588844e-02
-14.3  48  2.904429e-01
-14.7  48  1.168361e-01
-15  48  3.065544e-01
-15.3  48  2.566427e-01
-15.7  48  2.424435e-01
-16  48  1.845256e-01
-16.3  48  1.373874e-01
-16.7  48  7.289281e-02
-17  48  5.164631e-02
-17.3  48  3.366946e-02
-17.7  48  9.420277e-03
-1.800000e+01  4.800000e+01  0.0
-1.830000e+01  4.800000e+01  0.0
-1.870000e+01  4.800000e+01  0.0
-1.900000e+01  4.800000e+01  0.0
-1.930000e+01  4.800000e+01  0.0
-1.970000e+01  4.800000e+01  0.0
-2.000000e+01  4.800000e+01  0.0
-2.030000e+01  4.800000e+01  0.0
-2.070000e+01  4.800000e+01  0.0
