# m_a[MeV] g_a Z
0.25 3.15693e-05 0.2797055709792875
0.2899749006410853 3.15693e-05 0.2797055709792875
0.33634177200722903 3.15693e-05 0.2797055709792875
0.39012268767697117 3.15693e-05 0.2797055709792875
0.45250315038785144 3.15693e-05 0.2915850058216154
0.5248582242939811 3.15693e-05 0.5404154074091972
0.6087828457612144 3.15693e-05 0.44836281491072405
0.7061269808464211 3.15693e-05 0.099427533512799
0.8190364044437219 3.15693e-05 0.3612769428481131
0.95 3.15693e-05 0.10942423418911425
0.25 5e-05 0.2797055709792875
0.2899749006410853 5e-05 0.2797055709792875
0.33634177200722903 5e-05 0.2797055709792875
0.39012268767697117 5e-05 0.2797055709792875
0.45250315038785144 5e-05 0.1753689111370174
0.5248582242939811 5e-05 0.1888211470775965
0.6087828457612144 5e-05 0.49668171155102786
0.7061269808464211 5e-05 1.5647471913889826
0.8190364044437219 5e-05 1.6105245826375136
0.95 5e-05 2.249797975742969
0.25 6e-05 0.2797055709792875
0.2899749006410853 6e-05 0.2797055709792875
0.33634177200722903 6e-05 0.2797055709792875
0.39012268767697117 6e-05 0.2797055709792875
0.45250315038785144 6e-05 0.020822876019539117
0.5248582242939811 6e-05 0.3389902275467823
0.6087828457612144 6e-05 1.5127619641774126
0.7061269808464211 6e-05 3.0136581540529614
0.8190364044437219 6e-05 3.382060033917296
0.95 6e-05 4.2173890604888
0.25 7e-05 0.2797055709792875
0.2899749006410853 7e-05 0.2797055709792875
0.33634177200722903 7e-05 0.2797055709792875
0.39012268767697117 7e-05 0.2797055709792875
0.45250315038785144 7e-05 0.21093443631398315
0.5248582242939811 7e-05 1.077106932807628
0.6087828457612144 7e-05 2.775344634917275
0.7061269808464211 7e-05 4.690238310957523
0.8190364044437219 7e-05 5.41475326324506
0.95 7e-05 6.442216798577239
0.25 8e-05 0.2797055709792875
0.2899749006410853 8e-05 0.2797055709792875
0.33634177200722903 8e-05 0.2797055709792875
0.39012268767697117 8e-05 0.2797055709792875
0.45250315038785144 8e-05 0.5215535309400392
0.5248582242939811 8e-05 1.973644281955093
0.6087828457612144 8e-05 4.183962646311751
0.7061269808464211 8e-05 6.4828975813664655
0.8190364044437219 8e-05 7.561098218997301
0.95 8e-05 99
0.25 9e-05 0.2797055709792875
0.2899749006410853 9e-05 0.2797055709792875
0.33634177200722903 9e-05 0.2797055709792875
0.39012268767697117 9e-05 0.2797055709792875
0.45250315038785144 9e-05 0.9074053626951627
0.5248582242939811 9e-05 2.984960308792748
0.6087828457612144 9e-05 5.689156778797797
0.7061269808464211 9e-05 99
0.8190364044437219 9e-05 99
0.95 9e-05 99
0.25 0.0001 0.2797055709792875
0.2899749006410853 0.0001 0.2797055709792875
0.33634177200722903 0.0001 0.2797055709792875
0.39012268767697117 0.0001 0.2797055709792875
0.45250315038785144 0.0001 1.354236638758175
0.5248582242939811 0.0001 4.05754287522809
0.6087828457612144 0.0001 7.2280910224209105
0.7061269808464211 0.0001 99
0.8190364044437219 0.0001 99
0.95 0.0001 99
0.25 0.0002 0.2797055709792875
0.2899749006410853 0.0002 0.2797055709792875
0.33634177200722903 0.0002 0.2797055709792875
0.39012268767697117 0.0002 0.2797055709792875
0.45250315038785144 0.0002 7.5355508399599564
0.5248582242939811 0.0002 99
0.6087828457612144 0.0002 99
0.7061269808464211 0.0002 99
0.8190364044437219 0.0002 99
0.95 0.0002 99
0.25 0.0003 0.2797055709792875
0.2899749006410853 0.0003 0.2797055709792875
0.33634177200722903 0.0003 0.2797055709792875
0.39012268767697117 0.0003 0.2797055709792875
0.45250315038785144 0.0003 0.28145178373654955
0.5248582242939811 0.0003 0.28144149222985015
0.6087828457612144 0.0003 0.2814276332268511
0.7061269808464211 0.0003 0.2814089639477082
0.8190364044437219 0.0003 0.2813838036948824
0.95 0.0003 0.2797055709792875
0.25 0.0004 0.2797055709792875
0.2899749006410853 0.0004 0.2797055709792875
0.33634177200722903 0.0004 0.2797055709792875
0.39012268767697117 0.0004 0.2797055709792875
0.45250315038785144 0.0004 0.2797055709792875
0.5248582242939811 0.0004 0.2797055709792875
0.6087828457612144 0.0004 0.2797055709792875
0.7061269808464211 0.0004 0.2797055709792875
0.8190364044437219 0.0004 0.2797055709792875
0.95 0.0004 0.2797055709792875
0.25 0.0005 0.2797055709792875
0.2899749006410853 0.0005 0.2797055709792875
0.33634177200722903 0.0005 0.2797055709792875
0.39012268767697117 0.0005 0.2797055709792875
0.45250315038785144 0.0005 0.2797055709792875
0.5248582242939811 0.0005 0.2797055709792875
0.6087828457612144 0.0005 0.2797055709792875
0.7061269808464211 0.0005 0.2797055709792875
0.8190364044437219 0.0005 0.2797055709792875
0.95 0.0005 0.2797055709792875
1.0 3.15693e-05 0.003983697035123798
1.3556352626674741 3.15693e-05 0.19854847483551902
1.837746965387512 3.15693e-05 0.005542198964433863
2.4913145901394538 3.15693e-05 0.13145611697702592
3.3773139087910096 3.15693e-05 0.32056720392281807
4.578405827854414 3.15693e-05 0.4829453580264512
6.2066483870417155 3.15693e-05 0.4188524918080704
8.413951416451951 3.15693e-05 0.10593077495607771
11.40624923851321 3.15693e-05 0.33696689951791065
15.462713682502532 3.15693e-05 0.4623959375639415
20.961799924531267 3.15693e-05 0.2754674682920596
28.416555146674987 3.15693e-05 0.27258914555490643
38.52248420036753 3.15693e-05 0.2990186661036397
52.22243798756887 3.15693e-05 0.29482405960369257
70.79457843841381 3.15693e-05 0.2773731247632626
1.0 5e-05 2.4462558027033072
1.3556352626674741 5e-05 2.2176944990430236
1.837746965387512 5e-05 1.035198519166591
2.4913145901394538 5e-05 0.2591866927779224
3.3773139087910096 5e-05 0.29594281664477917
4.578405827854414 5e-05 0.6797763854347724
6.2066483870417155 5e-05 0.3953817095619538
8.413951416451951 5e-05 0.3226194928228777
11.40624923851321 5e-05 0.16441120345688365
15.462713682502532 5e-05 0.5742609571829876
20.961799924531267 5e-05 0.20993031653976466
28.416555146674987 5e-05 0.23303840925622676
38.52248420036753 5e-05 0.31978609495529015
52.22243798756887 5e-05 0.31494464089280505
70.79457843841381 5e-05 0.2740542010542592
1.0 6e-05 4.447037988117422
1.3556352626674741 6e-05 3.9005112137137825
1.837746965387512 6e-05 2.0150459371720073
2.4913145901394538 6e-05 0.6363129585755116
3.3773139087910096 6e-05 0.22278980797063133
4.578405827854414 6e-05 0.7493041923685677
6.2066483870417155 6e-05 0.2454359363197835
8.413951416451951 6e-05 0.7128218991103015
11.40624923851321 6e-05 0.10155993146515414
15.462713682502532 6e-05 0.5461515753717263
20.961799924531267 6e-05 0.12213300801760252
28.416555146674987 6e-05 0.18396692843075968
38.52248420036753 6e-05 0.3296289948016716
52.22243798756887 6e-05 0.32840567099648404
