# m_a[MeV] g_a Z
0.25 3.15693e-05 0.2797055709792875
0.2899749006410853 3.15693e-05 0.2797055709792875
0.33634177200722903 3.15693e-05 0.2797055709792875
0.39012268767697117 3.15693e-05 0.2797055709792875
0.45250315038785144 3.15693e-05 0.2797055709792875
0.5248582242939811 3.15693e-05 0.2797055709792875
0.6087828457612144 3.15693e-05 0.2797055709792875
0.7061269808464211 3.15693e-05 0.2797055709792875
0.8190364044437219 3.15693e-05 0.27970565679137904
0.95 3.15693e-05 0.2978830943599815
0.25 5e-05 0.2797055709792875
0.2899749006410853 5e-05 0.2797055709792875
0.33634177200722903 5e-05 0.2797055709792875
0.39012268767697117 5e-05 0.2797055709792875
0.45250315038785144 5e-05 0.2797055709792875
0.5248582242939811 5e-05 0.2797055709792875
0.6087828457612144 5e-05 0.2797055709792875
0.7061269808464211 5e-05 0.2797055709792875
0.8190364044437219 5e-05 0.2797057855196254
0.95 5e-05 0.31035872170255574
0.25 6e-05 0.2797055709792875
0.2899749006410853 6e-05 0.2797055709792875
0.33634177200722903 6e-05 0.2797055709792875
0.39012268767697117 6e-05 0.2797055709792875
0.45250315038785144 6e-05 0.2797055709792875
0.5248582242939811 6e-05 0.2797055709792875
0.6087828457612144 6e-05 0.2797055709792875
0.7061269808464211 6e-05 0.2797055709792875
0.8190364044437219 6e-05 0.27970587944281655
0.95 6e-05 0.30939452995698963
0.25 7e-05 0.2797055709792875
0.2899749006410853 7e-05 0.2797055709792875
0.33634177200722903 7e-05 0.2797055709792875
0.39012268767697117 7e-05 0.2797055709792875
0.45250315038785144 7e-05 0.2797055709792875
0.5248582242939811 7e-05 0.2797055709792875
0.6087828457612144 7e-05 0.2797055709792875
0.7061269808464211 7e-05 0.2797055709792875
0.8190364044437219 7e-05 0.27970598850020967
0.95 7e-05 0.2984947922474988
0.25 8e-05 0.2797055709792875
0.2899749006410853 8e-05 0.2797055709792875
0.33634177200722903 8e-05 0.2797055709792875
0.39012268767697117 8e-05 0.2797055709792875
0.45250315038785144 8e-05 0.2797055709792875
0.5248582242939811 8e-05 0.2797055709792875
0.6087828457612144 8e-05 0.2797055709792875
0.7061269808464211 8e-05 0.2797055709792875
0.8190364044437219 8e-05 0.2797061161339741
0.95 8e-05 0.27416091142998855
0.25 9e-05 0.2797055709792875
0.2899749006410853 9e-05 0.2797055709792875
0.33634177200722903 9e-05 0.2797055709792875
0.39012268767697117 9e-05 0.2797055709792875
0.45250315038785144 9e-05 0.2797055709792875
0.5248582242939811 9e-05 0.2797055709792875
0.6087828457612144 9e-05 0.2797055709792875
0.7061269808464211 9e-05 0.2797055709792875
0.8190364044437219 9e-05 0.27970626132948256
0.95 9e-05 0.23305995487294312
0.25 0.0001 0.2797055709792875
0.2899749006410853 0.0001 0.2797055709792875
0.33634177200722903 0.0001 0.2797055709792875
0.39012268767697117 0.0001 0.2797055709792875
0.45250315038785144 0.0001 0.2797055709792875
0.5248582242939811 0.0001 0.2797055709792875
0.6087828457612144 0.0001 0.2797055709792875
0.7061269808464211 0.0001 0.2797055709792875
0.8190364044437219 0.0001 0.2797064221838579
0.95 0.0001 0.17318650584145515
0.25 0.0002 0.2797055709792875
0.2899749006410853 0.0002 0.2797055709792875
0.33634177200722903 0.0002 0.2797055709792875
0.39012268767697117 0.0002 0.2797055709792875
0.45250315038785144 0.0002 0.2797055709792875
0.5248582242939811 0.0002 0.2797055709792875
0.6087828457612144 0.0002 0.2797055709792875
0.7061269808464211 0.0002 0.2797055709792875
0.8190364044437219 0.0002 0.27970899567429186
0.95 0.0002 1.6353604230579801
0.25 0.0003 0.2797055709792875
0.2899749006410853 0.0003 0.2797055709792875
0.33634177200722903 0.0003 0.2797055709792875
0.39012268767697117 0.0003 0.2797055709792875
0.45250315038785144 0.0003 0.2797055709792875
0.5248582242939811 0.0003 0.2797055709792875
0.6087828457612144 0.0003 0.2797055709792875
0.7061269808464211 0.0003 0.2797055709792875
0.8190364044437219 0.0003 0.2797065219255777
0.95 0.0003 0.2923253843307408
0.25 0.0004 0.2797055709792875
0.2899749006410853 0.0004 0.2797055709792875
0.33634177200722903 0.0004 0.2797055709792875
0.39012268767697117 0.0004 0.2797055709792875
0.45250315038785144 0.0004 0.2797055709792875
0.5248582242939811 0.0004 0.2797055709792875
0.6087828457612144 0.0004 0.2797055709792875
0.7061269808464211 0.0004 0.2797055709792875
0.8190364044437219 0.0004 0.2797055709792875
0.95 0.0004 0.2797055709792875
0.25 0.0005 0.2797055709792875
0.2899749006410853 0.0005 0.2797055709792875
0.33634177200722903 0.0005 0.2797055709792875
0.39012268767697117 0.0005 0.2797055709792875
0.45250315038785144 0.0005 0.2797055709792875
0.5248582242939811 0.0005 0.2797055709792875
0.6087828457612144 0.0005 0.2797055709792875
0.7061269808464211 0.0005 0.2797055709792875
0.8190364044437219 0.0005 0.2797055709792875
0.95 0.0005 0.2797055709792875
