# m_a[MeV] g_a Z
0.25 3.15693e-05 0.2797055709792875
0.2899749006410853 3.15693e-05 0.2797055709792875
0.33634177200722903 3.15693e-05 0.2797055709792875
0.39012268767697117 3.15693e-05 0.2797055709792875
0.45250315038785144 3.15693e-05 0.292696955935241
0.5248582242939811 3.15693e-05 0.44816658936299725
0.6087828457612144 3.15693e-05 0.44877856529951243
0.7061269808464211 3.15693e-05 0.33793776780498075
0.8190364044437219 3.15693e-05 0.5172302274113671
0.95 3.15693e-05 0.3189224438346377
0.25 5e-05 0.2797055709792875
0.2899749006410853 5e-05 0.2797055709792875
0.33634177200722903 5e-05 0.2797055709792875
0.39012268767697117 5e-05 0.2797055709792875
0.45250315038785144 5e-05 0.29653733543574695
0.5248582242939811 5e-05 0.5459867474704073
0.6087828457612144 5e-05 0.43243888187358814
0.7061269808464211 5e-05 0.043941987522893515
0.8190364044437219 5e-05 0.34277524417928806
0.95 5e-05 0.08950955319176047
0.25 6e-05 0.2797055709792875
0.2899749006410853 6e-05 0.2797055709792875
0.33634177200722903 6e-05 0.2797055709792875
0.39012268767697117 6e-05 0.2797055709792875
0.45250315038785144 6e-05 0.28875860980651585
0.5248582242939811 6e-05 0.5266321424026942
0.6087828457612144 6e-05 0.2702896061683006
0.7061269808464211 6e-05 0.3559357462760779
0.8190364044437219 6e-05 0.05968705675633677
0.95 6e-05 0.611078783772258
0.25 7e-05 0.2797055709792875
0.2899749006410853 7e-05 0.2797055709792875
0.33634177200722903 7e-05 0.2797055709792875
0.39012268767697117 7e-05 0.2797055709792875
0.45250315038785144 7e-05 0.26943285966262187
0.5248582242939811 7e-05 0.4293827211081841
0.6087828457612144 7e-05 0.03299187941785327
0.7061269808464211 7e-05 0.9419686827938961
0.8190364044437219 7e-05 0.7088094088900689
0.95 7e-05 1.3623786704303327
0.25 8e-05 0.2797055709792875
0.2899749006410853 8e-05 0.2797055709792875
0.33634177200722903 8e-05 0.2797055709792875
0.39012268767697117 8e-05 0.2797055709792875
0.45250315038785144 8e-05 0.23501236794932068
0.5248582242939811 8e-05 0.2426590939295346
0.6087828457612144 8e-05 0.4774154438449301
0.7061269808464211 8e-05 1.6867963540753093
0.8190364044437219 8e-05 1.5635833940539146
0.95 8e-05 2.295152114717958
0.25 9e-05 0.2797055709792875
0.2899749006410853 9e-05 0.2797055709792875
0.33634177200722903 9e-05 0.2797055709792875
0.39012268767697117 9e-05 0.2797055709792875
0.45250315038785144 9e-05 0.18218626848844485
0.5248582242939811 9e-05 0.03777282318946475
0.6087828457612144 9e-05 1.0546019668953046
0.7061269808464211 9e-05 2.5677895060875824
0.8190364044437219 9e-05 2.58689988533648
0.95 9e-05 3.3785194848867373
0.25 0.0001 0.2797055709792875
0.2899749006410853 0.0001 0.2797055709792875
0.33634177200722903 0.0001 0.2797055709792875
0.39012268767697117 0.0001 0.2797055709792875
0.45250315038785144 0.0001 0.10923741107808586
0.5248582242939811 0.0001 0.4023412287730726
0.6087828457612144 0.0001 1.7332055569534046
0.7061269808464211 0.0001 3.5377435200575964
0.8190364044437219 0.0001 3.7147457933338286
0.95 0.0001 4.558849532050902
0.25 0.0002 0.2797055709792875
0.2899749006410853 0.0002 0.2797055709792875
0.33634177200722903 0.0002 0.2797055709792875
0.39012268767697117 0.0002 0.2797055709792875
0.45250315038785144 0.0002 1.854262672189965
0.5248582242939811 0.0002 6.553762051345965
0.6087828457612144 0.0002 99
0.7061269808464211 0.0002 99
0.8190364044437219 0.0002 99
0.95 0.0002 99
0.25 0.0003 0.2797055709792875
0.2899749006410853 0.0003 0.2797055709792875
0.33634177200722903 0.0003 0.2797055709792875
0.39012268767697117 0.0003 0.2797055709792875
0.45250315038785144 0.0003 0.29665847093922115
0.5248582242939811 0.0003 0.29665932731718936
0.6087828457612144 0.0003 0.2966604791178802
0.7061269808464211 0.0003 0.2966620280909787
0.8190364044437219 0.0003 0.2797055709792875
0.95 0.0003 0.2797055709792875
0.25 0.0004 0.2797055709792875
0.2899749006410853 0.0004 0.2797055709792875
0.33634177200722903 0.0004 0.2797055709792875
0.39012268767697117 0.0004 0.2797055709792875
0.45250315038785144 0.0004 0.2797055709792875
0.5248582242939811 0.0004 0.2797055709792875
0.6087828457612144 0.0004 0.2797055709792875
0.7061269808464211 0.0004 0.2797055709792875
0.8190364044437219 0.0004 0.2797055709792875
0.95 0.0004 0.2797055709792875
0.25 0.0005 0.2797055709792875
0.2899749006410853 0.0005 0.2797055709792875
0.33634177200722903 0.0005 0.2797055709792875
0.39012268767697117 0.0005 0.2797055709792875
0.45250315038785144 0.0005 0.2797055709792875
0.5248582242939811 0.0005 0.2797055709792875
0.6087828457612144 0.0005 0.2797055709792875
0.7061269808464211 0.0005 0.2797055709792875
0.8190364044437219 0.0005 0.2797055709792875
0.95 0.0005 0.2797055709792875
1.0 3.15693e-05 0.30113260997772157
1.3556352626674741 3.15693e-05 0.348037998476215
1.837746965387512 3.15693e-05 0.3089746336001056
2.4913145901394538 3.15693e-05 0.3782811190618326
3.3773139087910096 3.15693e-05 0.530635398032857
4.578405827854414 3.15693e-05 0.5471962344427872
6.2066483870417155 3.15693e-05 0.2513026130241853
8.413951416451951 3.15693e-05 0.3023717299906739
11.40624923851321 3.15693e-05 0.41212784163172844
15.462713682502532 3.15693e-05 0.39028084802328433
20.961799924531267 3.15693e-05 0.27468962278858877
28.416555146674987 3.15693e-05 0.2654027847965659
38.52248420036753 3.15693e-05 0.3013350469401497
52.22243798756887 3.15693e-05 0.2897692798253084
70.79457843841381 3.15693e-05 0.27811316630276106
1.0 5e-05 0.10942046019513645
1.3556352626674741 5e-05 0.13738847004710447
1.837746965387512 5e-05 0.15838406741404423
2.4913145901394538 5e-05 0.25806658589490894
3.3773139087910096 5e-05 0.5053294740295446
4.578405827854414 5e-05 0.5443621699951652
6.2066483870417155 5e-05 0.060229594957759765
8.413951416451951 5e-05 0.25949664466107786
11.40624923851321 5e-05 0.49790565575830337
15.462713682502532 5e-05 0.4285626041164666
20.961799924531267 5e-05 0.21275382046660093
28.416555146674987 5e-05 0.22315092095888833
38.52248420036753 5e-05 0.3285602819439261
52.22243798756887 5e-05 0.3033952008598478
70.79457843841381 5e-05 0.27585275095082634
1.0 6e-05 0.6233532327296926
1.3556352626674741 6e-05 0.1943089046557282
1.837746965387512 6e-05 0.05876092845459754
2.4913145901394538 6e-05 0.01960385768951054
3.3773139087910096 6e-05 0.27429351698842414
4.578405827854414 6e-05 0.3215011683397105
6.2066483870417155 6e-05 0.1672453632397696
8.413951416451951 6e-05 0.17655197464662054
11.40624923851321 6e-05 0.48396106777386394
15.462713682502532 6e-05 0.3749729768065521
20.961799924531267 6e-05 0.13096420079312152
